Tone,Date,Newspaper
-0.046979866,"May 17, 2016",CD
0.020304569,"May 17, 2014",CD
0.014925373,"May 16, 2019",CD
-0.016161616,"May 16, 2019",CD
0.034146341,"May 16, 2019",CD
-0.013657056,"May 16, 2019",CD
0.015332198,"May 16, 2018",CD
0.025986526,"May 15, 2019",CD
-0.020833333,"May 15, 2018",CD
0.020348837,"May 15, 2017",CD
0.050086356,"May 15, 2017",CD
-0.020044543,"May 15, 2015",CD
0.036363636,"May 14, 2019",CD
-0.045602606,"May 14, 2018",CD
-0.035714286,"May 14, 2018",CD
0.010752688,"May 13, 2016",CD
0.010899183,"May 13, 2016",CD
0.045544554,"May 13, 2015",CD
0.024793388,"May 13, 2015",CD
0.02617801,"May 12, 2015",CD
0.026269702,"May 12, 2015",CD
-0.004538578,"May 11, 2018",CD
0.011126565,"May 11, 2018",CD
-0.030075188,"May 11, 2017",CD
-0.044378698,"May 11, 2016",CD
-0.011627907,"March 9, 2018",CD
-0.020547945,"March 8, 2018",CD
0.060126582,"March 7, 2018",CD
0.014619883,"March 7, 2016",CD
-0.020833333,"March 6, 2018",CD
0.005347594,"March 6, 2015",CD
-0.024691358,"March 5, 2018",CD
0.01459854,"March 5, 2016",CD
0.00617284,"March 4, 2019",CD
0.030927835,"March 4, 2018",CD
-0.014905149,"March 4, 2018",CD
0.033742331,"March 4, 2016",CD
0.015748031,"March 31, 2018",CD
0.005730659,"March 31, 2018",CD
0.009433962,"March 31, 2015",CD
0.002695418,"March 31, 2015",CD
0.00124533,"March 31, 2015",CD
-0.016546019,"March 30, 2018",CD
-0.001703578,"March 30, 2018",CD
0.007832898,"March 30, 2018",CD
0.004819277,"March 30, 2018",CD
0.006791171,"March 30, 2018",CD
0.014567266,"March 30, 2017",CD
0.046391753,"March 30, 2017",CD
0.055162659,"March 30, 2016",CD
0.031049251,"March 3, 2019",CD
0.048167539,"March 3, 2018",CD
0.026833631,"March 3, 2016",CD
-0.005970149,"March 29, 2018",CD
0.002583979,"March 29, 2018",CD
0.010830325,"March 29, 2017",CD
-0.03125,"March 28, 2018",CD
-0.015267176,"March 28, 2018",CD
0.015212528,"March 28, 2014",CD
0.011638317,"March 27, 2019",CD
0.009925558,"March 27, 2018",CD
-0.021996616,"March 27, 2018",CD
-0.003496503,"March 27, 2018",CD
0.019512195,"March 27, 2018",CD
0,"March 27, 2015",CD
